Cycle,Acc/Rej,Potential,BasicP,BendingP,DihedralP,Rg,Re,randomProb,boltzman
15000,false,-472.398399,-171.688278,-159.211374,-141.498747,5.884051,12.693769,0.804048,0.000004
15100,true,-469.461807,-168.732102,-160.256924,-140.472780,5.885445,12.246961,0.186940,0.370624
15200,false,-472.323810,-169.960726,-161.288493,-141.074592,5.966382,11.629857,0.169878,0.000000
15300,true,-468.565674,-167.021000,-159.582888,-141.961786,5.921703,11.123380,0.637248,1.000000
15400,false,-466.234318,-163.793276,-160.401920,-142.039122,5.991195,12.609164,0.669326,0.258042
15500,false,-463.675915,-163.335725,-158.812246,-141.527944,5.947658,13.483814,0.813971,0.000000
15600,false,-466.973251,-167.614672,-159.506538,-139.852041,5.930390,12.900958,0.494119,0.000000
15700,true,-456.060028,-157.836648,-158.727409,-139.495971,5.820521,11.147007,0.000306,0.000448
15800,false,-466.863807,-168.427279,-158.722024,-139.714504,5.918228,12.361528,0.767422,0.000000
15900,true,-467.980279,-168.733840,-159.294265,-139.952174,5.954142,11.458052,0.884933,1.344245
16000,true,-468.214480,-168.084661,-161.363121,-138.766698,5.934921,12.516084,0.039777,1.000000
16100,false,-464.377028,-163.804754,-161.998893,-138.573382,6.117787,11.292389,0.341156,0.301683
16200,true,-463.992156,-162.783524,-162.064611,-139.144021,6.049436,10.543010,0.726450,1.000000
16300,false,-464.020408,-164.316488,-161.760088,-137.943832,6.085001,11.916916,0.897457,0.000000
16400,false,-468.283717,-168.965663,-163.632009,-135.686045,5.943610,10.388393,0.986189,0.000000
16500,true,-471.440813,-170.440634,-163.949416,-137.050763,5.977246,9.990001,0.399448,0.967033
16600,false,-470.600231,-170.068088,-164.667101,-135.865041,5.966682,11.147799,0.541379,0.000000
16700,false,-472.615925,-171.261706,-164.778981,-136.575238,5.979126,10.906727,0.363242,0.000000
16800,false,-470.995528,-168.622804,-166.000593,-136.372131,5.964215,9.911618,0.939610,0.000040
16900,true,-468.794923,-169.757635,-163.958282,-135.079006,5.863213,10.497187,0.520214,1.000000
17000,true,-461.912095,-167.012227,-160.115490,-134.784379,5.948513,13.302358,0.756651,0.906760
17100,true,-468.530640,-166.324356,-164.913103,-137.293181,5.987014,11.148704,0.053181,1.000000
17200,true,-470.503143,-167.820704,-165.427037,-137.255402,5.991402,11.501285,0.240824,0.938452
17300,true,-468.830416,-168.949126,-163.454024,-136.427266,5.998131,10.463937,0.023982,1.012245
17400,false,-470.917511,-170.430887,-163.808899,-136.677725,5.961754,10.079458,0.898796,0.002581
17500,false,-471.145133,-170.351276,-163.754930,-137.038926,5.935845,9.691587,0.492469,0.001167
17600,false,-472.716947,-170.111665,-165.216920,-137.388363,5.960704,9.488511,0.522764,0.000000
17700,false,-472.706275,-170.070579,-165.162052,-137.473644,6.006813,10.769035,0.826898,0.000000
17800,true,-469.843689,-166.849517,-164.082282,-138.911890,6.029698,10.514252,0.159055,1.000000
17900,true,-475.646118,-172.617037,-163.902943,-139.126137,5.836526,10.330443,0.705730,1.000000
18000,false,-470.999562,-165.454979,-166.274031,-139.270552,6.043755,14.059739,0.518129,0.000000
18100,false,-475.474722,-170.079158,-165.917234,-139.478330,5.963350,11.584589,0.310839,0.000000
18200,false,-473.639592,-170.116100,-165.730639,-137.792853,5.863028,12.166006,0.325990,0.000000
18300,false,-471.818219,-168.270819,-164.900365,-138.647035,5.833436,10.455069,0.212125,0.000001
18400,false,-468.973095,-163.740881,-165.284961,-139.947252,5.888301,11.643838,0.117001,0.000000
18500,false,-474.092153,-169.151153,-164.575555,-140.365445,5.918776,12.380993,0.443533,0.001451
18600,false,-473.564887,-169.216461,-165.339028,-139.009398,5.893398,11.759773,0.968107,0.000000
18700,true,-463.179038,-161.951162,-163.917940,-137.309936,6.015117,11.796915,0.270476,0.703525
18800,false,-465.755621,-162.332253,-165.207253,-138.216114,5.853216,11.594213,0.674462,0.000000
18900,false,-468.841527,-164.099880,-165.951762,-138.789885,6.005506,13.599512,0.148673,0.071531
19000,false,-473.817337,-168.770202,-166.102316,-138.944819,5.932115,13.989424,0.866468,0.008278
19100,false,-471.368542,-167.041561,-164.889355,-139.437626,5.983125,13.633634,0.374379,0.000000
19200,false,-472.065808,-166.539466,-165.439928,-140.086413,5.928885,13.112643,0.568212,0.000000
19300,false,-473.097788,-167.637806,-165.182815,-140.277167,5.990720,13.922116,0.926038,0.000000
19400,true,-472.818822,-167.050606,-164.850746,-140.917470,5.997064,14.735169,0.697314,1.000000
19500,false,-476.463669,-169.542664,-165.970041,-140.950963,5.883278,12.328112,0.997324,0.000000
19600,true,-477.982193,-170.795606,-166.477561,-140.709026,5.976404,12.798180,0.006183,1.594890
19700,false,-478.068675,-170.690623,-166.386092,-140.991960,5.954687,14.433326,0.721607,0.000000
19800,false,-469.123145,-162.141139,-166.410604,-140.571402,6.062553,14.804613,0.964677,0.036431
19900,false,-474.445078,-167.058453,-166.312283,-141.074341,5.988458,12.417008,0.587810,0.000000
20000,false,-471.522750,-167.844472,-164.982338,-138.695940,5.816193,12.579936,0.084163,0.000000
20100,true,-468.553195,-167.329012,-162.384780,-138.839403,5.925457,13.446650,0.047679,0.326472
20200,false,-465.136944,-164.452077,-162.184925,-138.499942,5.892322,12.135026,0.183000,0.000000
20300,false,-463.649283,-162.232869,-163.636855,-137.779559,5.802846,12.532865,0.814463,0.502098
20400,true,-465.600516,-162.104796,-163.856916,-139.638805,5.894489,11.956042,0.093406,0.121868
20500,false,-469.404468,-163.402266,-164.369899,-141.632303,5.953247,12.953025,0.352988,0.000000
20600,false,-470.304022,-166.604772,-163.122413,-140.576837,5.947170,13.158037,0.309753,0.001062
20700,true,-474.434257,-169.598910,-164.290420,-140.544927,5.751435,11.165473,0.061154,0.896619
20800,true,-469.093124,-167.883079,-162.820729,-138.389316,5.818208,12.731186,0.078252,0.407672
20900,false,-474.619983,-173.712502,-163.745940,-137.161541,5.778836,10.854290,0.642820,0.000396
21000,false,-476.415293,-175.383622,-163.803143,-137.228529,5.793180,11.148830,0.428052,0.144853
21100,true,-470.701749,-166.075577,-164.555511,-140.070661,5.839156,14.296872,0.172114,0.180301
21200,false,-471.833876,-167.895685,-163.868258,-140.069933,5.803124,12.397149,0.643745,0.264131
21300,false,-472.517502,-170.298501,-164.181018,-138.037983,5.826356,13.564372,0.349132,0.000476
21400,false,-476.425835,-174.434131,-163.778416,-138.213287,5.750562,12.017779,0.679274,0.000000
21500,false,-473.123647,-171.533930,-162.637440,-138.952277,5.696787,11.929878,0.447056,0.000000
21600,false,-467.114536,-165.075168,-161.244683,-140.794684,5.817779,11.841810,0.013250,0.000000
21700,false,-468.115473,-163.442181,-162.446502,-142.226790,5.944797,13.520589,0.450669,0.000000
21800,false,-473.727369,-168.408226,-163.226256,-142.092886,5.908532,13.299598,0.445675,0.000040
21900,false,-475.602493,-169.313601,-164.209033,-142.079859,5.869577,12.545219,0.886284,0.000000
22000,false,-474.493131,-169.264671,-163.413828,-141.814633,5.935898,12.507510,0.336069,0.000000
22100,false,-474.891840,-169.484209,-163.603113,-141.804517,5.958600,12.421155,0.843077,0.000000
22200,true,-477.510521,-173.437619,-163.895247,-140.177655,5.834119,10.697489,0.783006,1.000000
22300,false,-477.608124,-171.811656,-164.329415,-141.467053,5.867623,11.301028,0.685820,0.146884
22400,false,-480.609545,-172.347211,-165.969863,-142.292472,5.825167,10.855303,0.245058,0.000000
22500,true,-478.512514,-170.080809,-165.453621,-142.978083,5.961016,12.507074,0.959029,1.000000
22600,true,-481.598509,-173.154401,-164.958943,-143.485166,5.935770,12.591141,0.103135,0.592130
22700,false,-481.985812,-172.296216,-166.823347,-142.866250,5.844333,12.879163,0.982513,0.000040
22800,true,-474.083851,-166.090538,-163.933865,-144.059448,5.910933,13.563803,0.664246,0.873492
22900,false,-474.974622,-165.516736,-165.149997,-144.307889,5.923573,12.755378,0.638333,0.487140
23000,false,-476.507678,-166.861699,-165.340091,-144.305888,5.916447,12.743913,0.106657,0.000000
23100,false,-478.854490,-169.481881,-165.824795,-143.547814,5.876125,10.013351,0.849161,0.038934
23200,false,-474.754681,-164.227803,-165.962021,-144.564857,6.021583,12.900648,0.866453,0.371991
23300,true,-482.922497,-172.838421,-164.506946,-145.577130,5.894084,14.184080,0.248053,4.668156
23400,false,-485.278022,-175.498760,-164.621093,-145.158170,5.878008,13.319608,0.965516,0.000052
23500,true,-487.775631,-175.651432,-166.220388,-145.903811,5.857147,12.382514,0.539624,1.000000
23600,false,-483.913013,-174.404801,-164.707540,-144.800672,5.871649,11.850223,0.780901,0.000000
23700,false,-485.157739,-173.928205,-165.227036,-146.002498,5.902558,13.155338,0.052629,0.005913
23800,false,-481.806058,-168.938033,-165.502843,-147.365183,5.986270,13.783028,0.755621,0.000317
23900,false,-479.109140,-168.937220,-164.248438,-145.923482,5.833572,13.448168,0.983948,0.070021
24000,false,-486.010404,-173.621439,-166.205870,-146.183095,5.841438,12.974288,0.550840,0.014969
24100,false,-480.511295,-168.953829,-165.051674,-146.505792,5.962078,13.861421,0.833988,0.602548
24200,false,-483.388510,-172.487627,-164.386523,-146.514361,5.922020,13.715129,0.139465,0.000000
24300,false,-477.908584,-165.937914,-162.801067,-149.169603,5.973664,14.308108,0.533475,0.000000
24400,false,-481.672635,-168.960012,-166.286240,-146.426383,5.968289,13.736950,0.341157,0.002809
24500,false,-481.548897,-167.020264,-168.007278,-146.521356,5.946310,13.709520,0.761667,0.022127
24600,false,-478.090116,-163.887556,-167.851258,-146.351302,6.002793,13.647219,0.298737,0.000000
24700,false,-478.042367,-163.649290,-167.513377,-146.879700,5.971661,14.360280,0.955963,0.000004
24800,false,-482.502106,-167.961169,-168.547844,-145.993093,6.000636,13.804067,0.396001,0.004827
24900,false,-484.004427,-168.844586,-168.875535,-146.284306,5.943113,14.580257,0.512926,0.258946
25000,false,-485.453651,-171.050925,-167.991303,-146.411423,5.924054,13.475291,0.116946,0.000000
25100,true,-480.707294,-165.129334,-168.193919,-147.384040,6.051137,15.074290,0.680705,1.023753
25200,true,-486.155758,-167.139678,-168.583895,-150.432185,5.926970,15.349113,0.346393,0.346749
25300,false,-490.471602,-170.516812,-169.730424,-150.224366,5.904764,13.917104,0.642869,0.000000
25400,true,-485.564552,-166.973362,-169.244435,-149.346755,5.908514,14.486343,0.612031,0.615732
25500,false,-480.261417,-161.389747,-169.923384,-148.948287,5.883490,14.085245,0.293644,0.000000
25600,false,-480.458668,-165.109658,-166.445248,-148.903763,5.835964,14.222143,0.767848,0.000000
25700,false,-484.225105,-167.236395,-168.932328,-148.056383,5.847074,13.844841,0.204558,0.000000
25800,false,-479.824610,-163.008619,-169.423332,-147.392659,5.949360,13.747239,0.618985,0.269961
25900,true,-483.042215,-167.634252,-167.449718,-147.958245,5.880377,14.256723,0.282490,0.339222
26000,true,-484.174987,-169.394779,-167.627705,-147.152503,5.878962,13.515895,0.987989,39.301274
26100,false,-483.225187,-166.184264,-169.778451,-147.262472,5.884187,13.737570,0.619130,0.000000
26200,false,-488.385843,-171.613658,-168.784113,-147.988072,5.737953,13.132963,0.722469,0.079302
26300,false,-488.953780,-172.168493,-169.024082,-147.761204,5.737625,12.920727,0.031839,0.001524
