Cycle,Acc/Rej,Potential,BasicP,BendingP,DihedralP,Rg,Re,randomProb,boltzman
21200,false,-609.395292,-304.423332,-165.333373,-139.638587,5.579373,10.080942,0.737006,0.000115
21300,false,-605.252153,-299.766117,-165.889160,-139.596875,5.717094,10.829302,0.994784,0.000000
21400,true,-608.266400,-300.896675,-167.157562,-140.212164,5.728033,11.093044,0.213092,1.000000
21500,false,-607.606697,-299.563583,-167.043423,-140.999691,5.699388,11.117185,0.696385,0.000000
21600,false,-610.637802,-302.118849,-167.065744,-141.453209,5.722323,10.934563,0.402457,0.000000
21700,true,-607.873212,-298.845481,-165.409922,-143.617809,5.742828,10.794680,0.191373,1.000000
21800,false,-613.188844,-304.338940,-165.330189,-143.519714,5.672152,10.578546,0.964100,0.000037
21900,true,-612.351746,-301.510317,-167.104049,-143.737379,5.669725,10.769142,0.890077,1.000000
22000,false,-612.875998,-305.045896,-164.996695,-142.833407,5.611337,10.617699,0.172921,0.000000
22100,false,-614.018440,-304.923629,-165.529961,-143.564850,5.648603,10.438311,0.053511,0.000000
22200,false,-616.673544,-307.984939,-165.990072,-142.698534,5.654431,10.653336,0.999646,0.012321
22300,false,-610.996756,-304.130667,-164.950080,-141.916008,5.630175,10.292249,0.281509,0.028698
22400,false,-618.320199,-309.756424,-165.731698,-142.832077,5.668980,10.408574,0.382157,0.011894
22500,true,-617.251634,-308.729694,-166.284999,-142.236941,5.631768,9.896463,0.942250,1.000000
22600,true,-615.842199,-307.230770,-166.310186,-142.301243,5.658724,9.643728,0.188234,0.803364
22700,false,-617.652740,-308.861737,-166.152951,-142.638051,5.646891,9.774164,0.043210,0.005884
22800,false,-612.455959,-305.611405,-165.171920,-141.672634,5.645513,10.140052,0.369696,0.000000
22900,false,-614.105288,-307.351167,-166.367509,-140.386612,5.645114,10.559078,0.043502,0.000000
23000,false,-617.444422,-310.119847,-167.904825,-139.419751,5.550459,8.904354,0.807951,0.517610
23100,false,-621.101820,-311.937409,-168.265152,-140.899259,5.571125,9.343583,0.107633,0.000000
23200,false,-617.335118,-310.697617,-166.580068,-140.057432,5.600379,8.381016,0.350956,0.000000
23300,false,-617.309183,-311.356013,-166.850167,-139.103003,5.525117,8.306980,0.300663,0.000000
23400,false,-618.980646,-313.479662,-167.209604,-138.291380,5.546334,8.426031,0.541578,0.000945
23500,false,-617.801844,-311.558463,-167.279371,-138.964010,5.566859,8.345543,0.224769,0.000017
23600,false,-615.872855,-310.294039,-167.060039,-138.518778,5.594088,8.460253,0.537363,0.000000
23700,false,-617.207451,-311.628319,-167.365442,-138.213690,5.549324,8.264210,0.597223,0.000000
23800,true,-615.505480,-308.876088,-167.850229,-138.779163,5.559282,8.270235,0.721713,1.000000
23900,false,-614.207656,-307.849703,-168.400315,-137.957639,5.597069,8.680228,0.269764,0.000000
24000,false,-617.345529,-309.897835,-168.413865,-139.033829,5.573033,8.769212,0.506465,0.000000
24100,false,-610.445952,-302.347465,-169.087485,-139.011001,5.595357,8.623482,0.189390,0.000007
24200,true,-619.238726,-311.263747,-169.330020,-138.644959,5.577662,8.779107,0.825885,14.097963
24300,true,-619.045006,-311.183632,-168.970478,-138.890896,5.578119,8.858806,0.800540,1.184572
24400,false,-618.924197,-311.972111,-168.009528,-138.942558,5.571100,8.890931,0.822053,0.000000
24500,true,-609.722510,-302.177482,-168.798878,-138.746151,5.606271,8.888375,0.388703,0.621633
24600,false,-607.818658,-300.216035,-168.919789,-138.682834,5.642223,9.556295,0.221672,0.000000
24700,false,-606.819788,-300.847403,-167.338279,-138.634106,5.575659,9.446193,0.865409,0.000000
24800,false,-598.967249,-294.488911,-167.001264,-137.477074,5.589729,10.362649,0.904271,0.000002
24900,false,-603.257487,-296.798847,-167.491281,-138.967359,5.669182,10.990322,0.494650,0.000000
25000,false,-604.590490,-299.329884,-166.085361,-139.175245,5.645310,11.036044,0.161818,0.000039
25100,true,-609.098433,-303.742170,-166.630215,-138.726048,5.604542,9.653625,0.060690,0.080961
25200,true,-609.651730,-303.909833,-166.540147,-139.201749,5.550723,9.665920,0.149741,1.000000
25300,false,-605.695176,-300.890566,-166.821317,-137.983293,5.600984,9.658971,0.977288,0.000000
25400,true,-606.382168,-302.005715,-165.987813,-138.388640,5.580093,9.215199,0.029352,0.670383
25500,false,-612.063208,-304.417889,-168.218158,-139.427161,5.657120,11.117515,0.838328,0.000000
25600,false,-614.036618,-306.290474,-168.692084,-139.054060,5.631329,11.093453,0.301677,0.000000
25700,false,-609.621581,-302.257719,-167.644893,-139.718969,5.610835,10.637778,0.909854,0.000000
25800,false,-614.913411,-306.188345,-169.072884,-139.652182,5.598097,10.491912,0.832700,0.000000
